Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1998,1998,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,6752.156,6752.156,911,911
1998,1998,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,70015.188,70015.188,1752,1752
1998,1998,MB,Manitoba,Manitoba,Human activity,Activites humaines,4837.8,4837.8,296,296
1998,1998,MB,Manitoba,Manitoba,Lightning,Foudre,445734.3,445734.3,220,220
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,274.9,274.9,224,224
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,4.1,4.1,18,18
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,133.4,133.4,46,46
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,1085.5,1085.5,159,159
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,39075.7,39075.7,21,21
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,306.67,306.67,293,293
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,12.13,12.13,5,5
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,77.93,77.93,48,48
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,79.72,79.72,24,24
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,1458875.43,1458875.43,373,373
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,5.01,5.01,2,2
1998,1998,ON,Ontario,Ontario,Human activity,Activites humaines,4137.500002,4137.500002,854,854
1998,1998,ON,Ontario,Ontario,Lightning,Foudre,127542.1,127542.1,1412,1412
1998,1998,ON,Ontario,Ontario,Unspecified,Indeterminee,26492.8,26492.8,25,25
1998,1998,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,76,76,20,20
1998,1998,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,0,0
1998,1998,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,1,1,7,7
1998,1998,QC,Quebec,Quebec,Human activity,Activites humaines,13329.3,13329.3,645,645
1998,1998,QC,Quebec,Quebec,Lightning,Foudre,404977.5,404977.5,209,209
1998,1998,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,158432.55,158432.55,438,438
1998,1998,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,886263.67,886263.67,830,830
1998,1998,YT,Yukon,Yukon,Human activity,Activites humaines,63760.73,63760.73,110,110
