Année,Juridiction,SCIAN,Valeur
2009,Colombie-Britannique,Fabrication du papier,9145
2009,Colombie-Britannique,Activités de soutien à la foresterie,7205
2009,Colombie-Britannique,Fabrication de produits en bois,23905
2009,Manitoba,Foresterie et exploitation forestière,345
2009,Manitoba,Fabrication du papier,1405
2009,Manitoba,Activités de soutien à la foresterie,560
2009,Manitoba,Fabrication de produits en bois,3290
2009,Nouveau-Brunswick,Foresterie et exploitation forestière,3040
2009,Nouveau-Brunswick,Fabrication du papier,2720
2009,Nouveau-Brunswick,Activités de soutien à la foresterie,945
2009,Nouveau-Brunswick,Fabrication de produits en bois,4185
2009,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,525
2009,Terre-Neuve-et-Labrador,Fabrication du papier,675
2009,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,185
2009,Terre-Neuve-et-Labrador,Fabrication de produits en bois,395
2009,Territoires du Nord-Ouest,Foresterie et exploitation forestière,10
2009,Territoires du Nord-Ouest,Fabrication du papier,0
2009,Territoires du Nord-Ouest,Activités de soutien à la foresterie,170
2009,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2009,Nouvelle-Écosse,Foresterie et exploitation forestière,1425
2009,Nouvelle-Écosse,Fabrication du papier,1830
2009,Nouvelle-Écosse,Activités de soutien à la foresterie,680
2009,Nouvelle-Écosse,Fabrication de produits en bois,3250
2009,Ontario,Foresterie et exploitation forestière,4640
2009,Ontario,Fabrication du papier,23395
2009,Ontario,Activités de soutien à la foresterie,2985
2009,Ontario,Fabrication de produits en bois,17345
