Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2002,Ontario,Exports,Wood-Fabricated Materials,Veneer (square metres),49294943
2002,Prince Edward Island,Exports,Pulp and Paper Products,Newsprint (tonnes),79
2002,Prince Edward Island,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),72
2002,Prince Edward Island,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),327
2002,Prince Edward Island,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),148
2002,Prince Edward Island,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),71
2002,Prince Edward Island,Exports,Wood-Fabricated Materials,Plywood (cubic metres),20
2002,Prince Edward Island,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),75405
2002,Quebec,Exports,Primary Wood Products,Logs (cubic metres),34803
2002,Quebec,Exports,Primary Wood Products,Pulpwood (cubic metres),18
2002,Quebec,Exports,Pulp and Paper Products,Newsprint (tonnes),3627101
2002,Quebec,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),2669482
2002,Quebec,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1543460
2002,Quebec,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),691456
2002,Quebec,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1405408
2002,Quebec,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),625373
2002,Quebec,Exports,Wood-Fabricated Materials,Plywood (cubic metres),89835
2002,Quebec,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8148737
2002,Quebec,Exports,Wood-Fabricated Materials,Veneer (square metres),48872376
2002,Saskatchewan,Exports,Primary Wood Products,Logs (cubic metres),49
2002,Saskatchewan,Exports,Primary Wood Products,Pulpwood (cubic metres),79
2002,Saskatchewan,Exports,Pulp and Paper Products,Newsprint (tonnes),271
2002,Saskatchewan,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),86197
2002,Saskatchewan,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),444177
2002,Saskatchewan,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1945
2002,Saskatchewan,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),217276
2002,Saskatchewan,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),2675
2002,Saskatchewan,Exports,Wood-Fabricated Materials,Plywood (cubic metres),495
